entry_time,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_points,pnl_dollars,reason,capital,be_moved,ob_formed
2024-10-01 13:00:00,2024-10-01 15:00:00,long,2658.02,2658.52,2658.52,2682.4803928571423,0.36,0.5,18.0,SL,29170.028189285735,True,2024-09-30 07:00:00
2024-10-04 07:00:00,2024-10-04 12:00:00,long,2660.125,2654.6356607142857,2654.6356607142857,2676.593017857143,0.53,-5.489339285714323,-290.9349821428591,SL,28879.093207142876,False,2024-10-03 17:00:00
2024-10-04 12:00:00,2024-10-04 15:00:00,short,2648.965,2662.261571428571,2662.261571428571,2609.075285714287,0.22,-13.296571428571042,-292.5245714285629,SL,28586.568635714313,False,2024-10-03 16:00:00
2024-10-08 11:00:00,2024-10-08 13:00:00,long,2648.055,2638.594482142857,2638.594482142857,2676.4365535714282,0.3,-9.460517857142804,-283.8155357142841,SL,28302.75310000003,False,2024-10-07 18:00:00
2024-10-08 14:00:00,2024-10-08 15:00:00,short,2634.015,2610.402214285713,2641.885928571429,2610.402214285713,0.36,23.61278571428693,850.0602857143294,TP,29152.813385714362,False,2024-10-08 08:00:00
2024-10-10 07:00:00,2024-10-10 12:00:00,short,2616.065,2625.0240714285715,2625.0240714285715,2589.187785714286,0.33,-8.959071428571406,-295.6493571428564,SL,28857.164028571504,False,2024-10-09 05:00:00
2024-10-10 12:00:00,2024-10-10 13:00:00,long,2621.17,2616.115839285714,2616.115839285714,2636.3324821428578,0.57,-5.054160714285899,-288.0871607142962,SL,28569.07686785721,False,2024-10-09 11:00:00
2024-10-11 13:00:00,2024-10-11 18:00:00,long,2644.815,2658.72,2650.9342857142856,2667.7770535714294,0.37,13.904999999999745,514.4849999999906,SessionEnd,29083.5618678572,True,2024-10-11 06:00:00
2024-10-14 15:00:00,2024-10-14 18:00:00,long,2644.745,2649.26,2645.245,2660.0580178571436,0.57,4.515000000000327,257.3550000000186,SessionEnd,29340.916867857217,True,2024-10-11 12:00:00
2024-10-15 08:00:00,2024-10-15 18:00:00,long,2652.51,2665.145,2654.3267857142855,2673.600053571429,0.42,12.634999999999764,530.6699999999901,SessionEnd,29871.586867857208,True,2024-10-14 20:00:00
2024-10-17 10:00:00,2024-10-17 16:00:00,long,2681.82,2685.0035714285714,2685.0035714285714,2711.9525357142866,0.3,3.183571428571213,95.50714285713639,SL,29967.094010714343,True,2024-10-16 13:00:00
2024-10-25 17:00:00,2024-10-25 18:00:00,long,2739.16,2742.175,2728.599142857143,2770.842571428571,0.28,3.0150000000003274,84.42000000000918,SessionEnd,30051.514010714352,False,2024-10-24 13:00:00
2024-11-05 07:00:00,2024-11-05 08:00:00,short,2734.275,2739.202410714286,2739.202410714286,2719.492767857142,0.61,-4.9274107142859975,-300.57205357144585,SL,29750.941957142906,False,2024-11-04 17:00:00
2024-11-12 13:00:00,2024-11-12 18:00:00,short,2612.61,2599.23,2611.3303571428573,2588.468142857144,0.37,13.38000000000011,495.06000000000404,SessionEnd,30246.00195714291,True,2024-11-11 18:00:00
2024-12-03 13:00:00,2024-12-03 15:00:00,long,2641.195,2641.695,2641.695,2664.9784107142864,0.38,0.5,19.0,SL,30265.00195714291,True,2024-12-03 01:00:00
2024-12-04 12:00:00,2024-12-04 13:00:00,short,2640.555,2644.1298749999996,2644.1298749999996,2629.8303750000005,0.85,-3.5748749999997926,-303.8643749999824,SL,29961.13758214293,False,2024-12-04 01:00:00
2024-12-05 07:00:00,2024-12-05 08:00:00,long,2645.96,2642.5034107142856,2642.5034107142856,2656.3297678571435,0.87,-3.4565892857144718,-300.72326785715904,SL,29660.41431428577,False,2024-12-04 03:00:00
