entry_time,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_points,pnl_dollars,reason,capital,be_moved
2025-03-19 10:00:00,2025-03-19 14:00:00,long,3034.725,3027.105857142857,3027.105857142857,3053.772857142857,0.15,-7.619142857142833,-114.2871428571425,SL,11254.223514285692,False
2025-03-25 07:00:00,2025-03-25 08:00:00,short,3011.225,3017.2824285714287,3017.2824285714287,2996.081428571428,0.19,-6.057428571428773,-115.09114285714668,SL,11139.132371428545,False
2025-03-28 15:00:00,2025-03-28 16:00:00,long,3083.845,3083.985,3071.970571428571,3113.531071428571,0.09,0.14000000000032742,1.2600000000029468,SessionEnd,11140.392371428548,False
2025-04-04 07:00:00,2025-04-04 09:00:00,short,3092.86,3092.36,3092.36,3061.966428571429,0.09,0.5,4.5,SL,11144.892371428548,True
2025-04-04 12:00:00,2025-04-04 15:00:00,short,3071.295,3021.3760714285713,3062.525142857143,3021.3760714285713,0.06,49.91892857142875,299.5135714285725,TP,11444.40594285712,True
2025-04-11 12:00:00,2025-04-11 16:00:00,long,3233.75,3223.195,3211.31,3289.85,0.05,-10.554999999999836,-52.77499999999918,SessionEnd,11391.63094285712,False
2025-04-15 14:00:00,2025-04-15 16:00:00,long,3222.72,3221.465,3211.3709999999996,3251.0925,0.1,-1.2549999999996544,-12.549999999996544,SessionEnd,11379.080942857123,False
2025-04-23 12:00:00,2025-04-23 16:00:00,short,3310.735,3295.08,3308.4350000000004,3236.9939285714286,0.04,15.6550000000002,62.6200000000008,SessionEnd,11441.700942857124,True
2025-04-24 13:00:00,2025-04-24 16:00:00,short,3315.52,3331.725,3337.2858571428574,3261.105357142857,0.05,-16.204999999999927,-81.02499999999964,SessionEnd,11360.675942857124,False
2025-05-02 15:00:00,2025-05-02 16:00:00,short,3231.64,3225.07,3248.641857142857,3189.135357142857,0.07,6.569999999999709,45.98999999999797,SessionEnd,11406.665942857122,False
2025-05-22 11:00:00,2025-05-22 13:00:00,long,3314.38,3298.935142857143,3298.935142857143,3352.992142857143,0.07,-15.444857142857018,-108.11399999999914,SL,11298.551942857122,False
2025-05-28 13:00:00,2025-05-28 16:00:00,short,3305.315,3293.54,3304.815,3272.273214285714,0.09,11.775000000000091,105.97500000000082,SessionEnd,11404.526942857123,True
2025-06-04 08:00:00,2025-06-04 10:00:00,long,3362.825,3351.8175714285712,3351.8175714285712,3390.3435714285715,0.1,-11.00742857142859,-110.0742857142859,SL,11294.452657142836,False
2025-06-04 12:00:00,2025-06-04 16:00:00,long,3358.99,3375.115,3361.31,3393.2510714285713,0.08,16.125,129.0,SessionEnd,11423.452657142836,True
2025-06-12 09:00:00,2025-06-12 16:00:00,long,3365.45,3383.83,3375.178428571429,3402.075714285714,0.08,18.38000000000011,147.04000000000087,SessionEnd,11570.492657142837,True
2025-06-13 08:00:00,2025-06-13 14:00:00,long,3424.365,3424.865,3424.865,3463.666071428571,0.07,0.5,3.5000000000000004,SL,11573.992657142837,True
2025-06-17 08:00:00,2025-06-17 10:00:00,short,3378.945,3390.877285714286,3390.877285714286,3349.114285714286,0.1,-11.932285714285626,-119.32285714285626,SL,11454.669799999981,False
2025-07-02 09:00:00,2025-07-02 13:00:00,long,3341.755,3342.255,3342.255,3363.366785714286,0.13,0.5,6.5,SL,11461.169799999981,True
2025-07-16 13:00:00,2025-07-16 14:00:00,short,3326.91,3334.968,3334.968,3306.765,0.14,-8.057999999999993,-112.81199999999991,SL,11348.357799999982,False
2025-07-28 12:00:00,2025-07-28 13:00:00,short,3328.46,3306.7485714285717,3337.1445714285715,3306.7485714285717,0.13,21.711428571428314,282.2485714285681,TP,11630.60637142855,False
2025-07-29 11:00:00,2025-07-29 12:00:00,short,3315.335,3323.81,3323.81,3294.1475,0.14,-8.474999999999909,-118.64999999999874,SL,11511.95637142855,False
2025-08-06 14:00:00,2025-08-06 15:00:00,long,3379.31,3370.5787142857143,3370.5787142857143,3401.138214285714,0.13,-8.731285714285605,-113.50671428571286,SL,11398.449657142837,False
2025-08-08 07:00:00,2025-08-08 10:00:00,long,3402.33,3389.4432857142856,3389.4432857142856,3434.5467857142853,0.09,-12.886714285714334,-115.980428571429,SL,11282.469228571408,False
2025-08-08 13:00:00,2025-08-08 14:00:00,long,3400.16,3387.054714285714,3387.054714285714,3432.923214285714,0.09,-13.105285714285856,-117.9475714285727,SL,11164.521657142835,False
2025-08-15 10:00:00,2025-08-15 13:00:00,short,3337.85,3344.6085714285714,3344.6085714285714,3320.9535714285716,0.17,-6.758571428571486,-114.89571428571526,SL,11049.625942857121,False
2025-08-15 13:00:00,2025-08-15 15:00:00,short,3335.485,3343.7487142857144,3343.7487142857144,3314.8257142857146,0.13,-8.263714285714286,-107.42828571428572,SL,10942.197657142835,False
2025-08-19 12:00:00,2025-08-19 14:00:00,short,3334.76,3334.26,3334.26,3317.366428571429,0.16,0.5,8.0,SL,10950.197657142835,True
